FileName	Usefulness	ORGANIZATION	COMMERCIALITEM	DATE	EVENT	LOCATION	OTHER	PERSON	QUANTITY	TITLE	PERSONTYPE	PRODUCT	SKILL	ADDRESS	PHONENUMBER	EMAILADDRESS	URL	IPADDRESS	UNKNOWN	WORKOFART	CONSUMERGOOD	NUMBER	PRICE	COMPANY	DURATION	FACILITY	GEOGRAPHICFEATURE	HASHTAG	JOBTITLE	MEASURE	MONEY	ORDINAL	PERCENT	TIME	TWITTERHANDLE
cdu.de#M	Useful	14	0	2	9	5	0	1	5	0	18	8	72	2	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	13	0	1	1	7	0	0	34	0	12	1	38	6	0	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
cdu.de#T	Useful	12	0	0	3	5	4	2	1	0	0	0	0	2	0	1	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	11	0	1	0	5	1	1	4	0	0	0	0	0	0	2	8	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	
dhl.de#A	Useful	27	0	0	0	15	7	1	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	41	0	1	0	22	77	2	55	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
dhl.de#C	Useful	23	0	1	0	11	11	5	0	0	0	0	0	1	0	0	1	0	0	0	4	9	0	0	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	52	0	0	7	17	188	39	0	2	0	0	0	7	0	1	0	0	0	7	23	40	0	0	8	1	0	0	0	3	0	0	0	0	0	
dhl.de#G	Useful	17	0	0	1	13	26	5	0	0	0	0	0	3	0	0	0	0	0	0	11	11	0	0	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	62	0	0	43	30	781	65	0	0	0	0	0	11	0	0	0	0	0	18	48	51	0	0	0	0	0	0	0	0	0	0	0	0	0	
dhl.de#I	Useful	27	0	2	0	8	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	6	0	0	0	7	0	0	0	0	0	0	0	0	0	
""	Useless	98	0	0	0	7	0	8	0	0	0	0	0	0	0	2	5	0	0	0	0	32	0	0	11	10	0	0	14	7	0	8	0	0	0	
dhl.de#M	Useful	23	0	1	1	5	0	1	12	0	1	1	8	6	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	41	0	2	15	20	0	1	45	0	65	27	177	15	1	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
dhl.de#T	Useful	22	0	0	0	10	1	2	0	0	0	0	0	1	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	39	0	0	5	14	11	1	3	0	0	0	0	2	0	2	3	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	
gruene.de#A	Useful	9	0	0	0	4	3	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	13	0	0	1	10	27	0	9	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
gruene.de#C	Useful	6	0	0	0	4	11	2	0	0	0	0	0	2	1	1	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	13	0	0	2	7	43	10	0	0	0	0	0	1	0	1	13	0	0	5	7	10	0	0	2	1	0	0	0	0	0	0	0	0	0	
gruene.de#G	Useful	3	0	0	2	7	26	1	0	0	0	0	0	2	1	0	0	0	0	0	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	14	0	0	8	9	197	14	0	0	0	0	0	3	0	0	0	0	0	8	16	22	0	0	0	0	0	0	0	0	0	0	0	0	0	
gruene.de#I	Useful	9	0	0	0	4	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	
""	Useless	21	0	0	0	6	0	7	0	0	0	0	0	0	0	1	18	0	0	0	0	9	0	0	3	3	0	0	2	0	0	3	0	0	0	
gruene.de#M	Useful	10	0	0	0	2	0	0	5	0	1	0	8	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
